ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,LR_Potability,LR_Potability2,RF_Potability,RF_Potability2,NN_Potability,NN_Potability2
5.726336216,191.7522897,35899.28031,8.066654024,378.7746046,307.9875511,12.56872068,60.19235078,3.912289082,0,0,0,0,1,1
8.080415244,166.8917001,18136.12886,6.86755296,329.5806789,600.937203,16.30779009,55.58614173,4.070824292,0,0,0,0,0,0
5.27418539,227.340186,17605.53576,6.326979503,358.589903,489.4345906,11.19919093,43.37680777,4.364426392,0,0,1,0,1,1
8.167767663,144.9029318,36185.67854,4.545520137,297.9602299,605.4588934,20.22207487,53.90817735,3.41068554,0,0,1,0,1,1
2.128531434,192.696422,24905.28452,7.757769765,383.5198922,473.5500653,14.28649324,56.34782991,3.842109417,0,0,0,0,1,1
4.737391257,215.5295107,30684.21164,8.781904578,295.3505243,313.513502,11.07028905,62.9144208,3.853388072,0,0,0,0,0,0
7.66518778,209.9972465,22993.72935,5.543901316,343.4942197,417.7389884,7.750606555,63.55182239,2.707129162,0,0,0,0,1,1
6.776879088,189.4388127,19663.79131,8.386403518,375.4573453,420.3573924,14.83156005,61.0504197,3.322065007,0,0,0,0,0,0
6.164927293,206.0405843,22805.6115,4.39883127,281.8968818,409.3576794,16.89572509,61.72587637,4.169660978,0,0,0,0,1,1
7.595228724,188.3732817,32869.47441,6.745588412,365.2086922,326.6271313,13.88332895,73.43822049,3.497604114,0,0,0,0,1,1
10.19166524,211.5669045,13630.04731,6.524476299,297.0490657,468.3713868,17.41174671,72.7205726,3.403422698,0,0,0,0,1,1
5.204938763,232.8827254,17818.39449,7.300265028,328.81876,404.003888,12.86641996,55.49833107,3.439561019,0,0,0,0,0,0
6.512900833,169.2174798,25151.41157,4.613310783,375.612318,296.074382,15.08869952,74.07592557,4.404040365,0,0,1,1,0,0
7.332103963,185.4150767,24412.50354,7.253851858,319.0050711,310.2619742,14.94221731,80.77427549,3.901096866,0,0,0,0,0,0
5.218989651,164.7909916,27007.88691,6.592516959,357.0828184,422.2238018,14.07087898,73.92031968,4.383942554,0,0,0,0,1,1
8.63127,164.3711691,14880.6518,7.278263165,350.9515814,444.1081117,16.85745879,58.17786718,3.640944003,0,0,0,0,1,1
6.966835168,158.0430653,12256.67829,7.105619057,371.5174351,382.4438627,14.40808047,78.10073532,2.957441071,0,0,0,0,1,1
4.292966858,212.8086454,30434.26912,8.630313014,333.4825401,382.922363,15.77992197,39.77551322,2.804923583,0,0,0,0,1,1
3.641629777,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.59465676,3.464353035,0,0,0,0,0,0
8.005016372,187.2305346,49341.42128,4.339310242,300.697128,437.3255073,13.97201408,86.67732849,5.288776597,0,0,1,1,1,1
4.26526964,199.4994515,25634.53328,5.914884438,260.2612056,300.5479288,12.1987325,55.94236583,4.900446069,0,0,0,0,1,1
7.276863125,154.9259717,30037.22162,5.796570971,252.0672672,311.7500192,13.9046523,77.53204198,4.11358503,0,0,1,0,0,0
8.975464348,279.3571668,19460.39813,6.204320859,316.5527914,431.44399,12.88875905,63.8212371,2.43608559,0,0,0,0,0,0
5.404510674,258.9034888,10168.17654,9.648197064,248.7119634,396.9112142,15.51220766,65.80533075,3.998175886,0,0,0,0,1,1
4.292966858,188.4454695,28791.61442,8.040356351,382.0094766,422.2348606,10.5756901,63.23536504,3.228379217,0,0,0,0,0,0
6.032188903,200.4207555,32882.15594,6.516518928,352.0186379,349.9821732,14.10482106,43.37680777,3.423831621,0,0,0,0,0,0
6.832217388,226.2708237,15380.12408,6.661473866,326.6243535,392.5582049,14.08310964,50.28639473,4.516869764,0,0,0,0,1,1
5.036453976,190.1645202,29258.73814,4.991061122,300.4759248,332.3597146,11.05580115,116.1616216,3.534665425,0,0,1,0,1,1
7.976900874,234.7793796,15360.83507,5.736026878,377.1781189,613.6335477,14.19127381,48.91588146,4.753607931,0,0,0,0,0,0
6.769769339,178.3317527,16980.25848,7.051697433,369.9062775,299.4049766,18.70365696,62.86852727,3.846611901,0,0,0,0,1,1
9.57822672,205.7487423,33080.58883,5.659847929,356.6983008,333.0699111,16.98496143,68.90608803,3.419238762,0,0,0,0,0,0
6.901863449,164.7234862,20442.61501,5.163931373,341.537089,468.4163498,10.36262263,65.69487776,4.047907292,0,0,0,0,1,1
6.975209178,175.4210394,35701.15532,5.494254342,290.0528022,401.0588017,10.28528265,66.4205789,5.25648355,0,0,1,1,0,0
5.04562573,179.7025031,22557.6036,10.12033402,296.4251538,450.2956957,14.21581713,82.06633367,3.331786641,0,0,0,1,1,1
7.521920636,198.3546264,20139.43035,7.177654989,369.5529578,603.0549559,13.77360984,84.81677108,3.110932391,0,0,0,0,0,0
5.757088957,148.9891464,32415.73362,9.178560477,319.2229356,407.7417133,12.12095586,42.21884487,3.730185467,0,0,0,1,1,1
7.475536902,215.4291024,31359.38646,7.498494554,337.4623787,477.2350531,12.18630951,53.90882037,4.015574262,0,0,0,0,0,0
6.166348223,210.0865581,37922.90562,6.760220715,294.3477322,217.3583296,12.28923761,39.9780961,4.816304244,0,0,0,1,0,0
8.713482927,192.2021681,34160.92514,8.963155528,363.4727979,474.7817344,15.90527043,50.80782512,2.998335472,0,0,0,0,0,0
8.846281957,188.4150006,17734.94963,6.057867647,317.1505445,419.3955691,17.11544677,60.25157823,2.925037558,0,0,0,0,1,1
4.908899724,161.2431922,13516.91149,8.206211929,343.3052882,535.2245167,14.35610131,71.44491514,4.196429497,0,0,0,0,1,1
6.320427823,210.3100428,11682.22932,6.968422638,311.7778219,375.9645578,11.973422,62.96046258,4.553380743,0,0,0,0,0,0
8.072612403,210.2697797,16843.36393,8.793458648,359.5161693,559.1675739,17.26357604,68.73898911,5.082206247,0,0,0,0,1,1
8.051022203,195.8746342,17749.29866,7.556750344,348.4749425,512.4544684,15.48527563,54.13265784,2.775635434,0,0,0,0,1,1
6.283318587,228.5248386,11601.64238,6.322219152,352.5058976,414.7844425,11.67967582,88.34594023,4.153989991,0,0,0,0,0,0
10.30157127,199.6093636,11278.82968,7.464893143,433.4481681,461.9792858,17.09909636,63.19083547,3.857851975,0,0,0,0,0,0
6.039823242,187.0432834,24634.55244,9.081880473,278.7422964,443.8433994,11.0539246,74.10818032,3.498716819,0,0,0,0,0,0
8.528292138,134.3111598,8076.822283,5.322111986,305.8285533,599.6145353,9.253350629,100.335665,3.373936508,0,0,0,0,1,1
6.624572528,172.0554707,14877.28974,7.07993397,338.4412768,405.8180972,15.65614883,58.56053052,4.333720849,0,0,0,0,1,1
7.714312672,191.6926397,19789.63608,7.856556902,340.3263144,377.9263683,18.91702672,58.69220411,4.42513397,0,0,0,0,1,1
5.03377399,155.3214775,34971.80748,7.121477448,320.115497,500.6373262,18.31249854,63.19330599,3.244948477,0,0,0,1,0,0
7.602121475,199.3531655,11346.14345,6.900379647,304.9664881,210.319182,17.92578239,62.84667263,3.698874769,0,0,0,0,1,1
6.125810325,241.4435346,8810.89581,5.740321173,369.022715,367.9679432,16.81650685,47.66172717,4.953057691,0,0,1,0,0,0
8.570129121,200.0718748,9782.344284,5.661696967,314.1400562,511.1615111,11.85608904,66.04841335,4.604404561,0,0,0,0,1,1
5.896339346,178.6780937,17420.08715,5.292162419,328.2095662,473.6866933,16.43771518,79.47117721,5.032854921,0,0,0,0,1,1
7.371289877,180.7365263,25672.312,7.377422363,310.5674671,298.0530573,12.6716071,27.55935488,4.084696775,0,0,0,1,0,0
6.396569931,243.7247069,12278.98528,6.794551403,272.0850572,489.4493051,17.63803947,75.51905904,4.188249712,0,0,0,0,1,1
10.1119767,240.4321002,15331.30269,5.392651282,361.9029262,403.0418101,16.13112429,61.11114634,3.425763242,0,0,0,0,0,0
6.191241443,231.3227967,29778.35788,4.38109672,248.3043909,488.9541644,13.02213512,54.0608511,3.315070593,0,0,1,0,1,1
6.271012171,138.5257115,17905.48002,7.929303294,399.5036111,485.4231793,17.66736628,36.05826169,5.437429061,0,0,1,0,1,1
7.108140711,148.6246065,23688.20522,7.003487667,339.112673,259.9637626,17.21857543,56.04493436,4.015246444,0,0,0,0,0,0
5.329938815,196.0346231,24000.52314,5.729574899,335.0923218,511.7051873,18.58809063,68.45803745,5.79932235,0,0,0,1,1,1
7.033495055,191.8802166,29322.7407,9.027056983,274.2923054,496.1982994,17.19164621,42.86468215,3.678957092,0,0,1,0,0,0
7.312109304,199.8129989,14540.73508,8.827413554,276.1182819,486.9837343,17.27165578,70.13560786,5.123871935,0,0,1,0,1,1
8.016279103,211.0293038,14034.4858,9.796999515,389.3387958,491.0790821,14.51299105,35.56596645,4.308222881,0,0,1,1,0,0
6.09801209,211.4540103,39352.77584,6.212191253,368.897034,488.1413127,11.79184027,46.92804133,4.590616741,0,0,1,1,0,0
6.848033469,165.8153256,6068.454885,6.132131504,373.2068337,442.7862667,11.11817146,64.02759951,4.257037543,0,0,0,0,1,1
6.593764313,233.5141325,25589.61059,9.785695834,328.81876,489.7034439,14.38960913,46.46398161,2.346578095,0,0,0,0,0,0
